id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,has_buynow
130767592,5036952192744,"Ổ cắm Điện Quang ĐQ ESK 5W. SM740SL (4 lỗ 3 chấu dây 5 mét màu Trắng Đỏ)TIỆN DỤNG, ĐẢM BẢO AN TOÀN- CHỈ CÓ THỂ LÀ Ổ CẮM ĐIỆN QUANG1/ ĐIỂM ĐẶC BIỆT SẢN PHẨM:An toàn 99.9% cho người dùng với tính n...",149000,149000,,0,0,76,,available,,1000,1000,,41391,Điện Quang,True
85512749,7934289201226,"Siêu phẩm miếng dán tường treo giá, kệ mẫu mới nhất 2021 được đặt tận gốc nhà máy sản xuất với tỷ lệ keo dính chắc hơn gấp đôi loại thường.    ------------ TÍNH NĂNG NỔI BẬT -------------...",21000,30000,,9000,30,59,,available,,1000,1000,,111461,OEM,True
195980952,3971566725909,"ĐÈN NGỦ CẢM BIẾN THÔNG MINH SẠC- Tự động bật đèn khi có người- Chỉ bật khi trời tối, trời sáng đèn sẽ không hoạt động- Ánh sáng nhẹ dịu, bảo vệ tốt cho mắt- Đèn sử dụng pin có thể sạc lại khi hết...",39000,44000,,5000,11,17,,available,,1000,1000,,111461,OEM,True
15249707,3202957141127,"HƯỚNG DẪN SỬ DỤNGĐể sử dụng keo dính chuột bạn chỉ cần tách 2 mép của keo dính chuột về 2 bên đặt những nơi chuột thường qua lại, dưới gầm giường, tủ, bàn ghế, tránh nơi có vật nuôi & co...",55000,55000,,0,0,58,,available,,1000,1000,,111461,OEM,True
181410158,6881043604407,"THÔNG TIN SẢN PHẨMChất liệu: Gỗ MDF phủ melamin, chân thép chống ghỉ sơn tĩnh điệnMàu sắc: Trắng - Vân gỗKích thước: 80x40x75cm, 120x60x75cmCông năng: Sử dụng làm bàn học, bàn làm việc, bàn gamin...",328000,328000,,0,0,156,,available,,1000,1000,,523789,IGA,True
214583407,4896892485622,"Tên sản phẩm: - Ấm pha trà giữ nhiệt inox dung tích 1lit có lưới lọc, bình pha trà giữ nhiệt cao cấp giữ nhiêt có tay cầm cực tiện. - Ấm nước pha trà giữ nhiệt inox Bình nước, bình giữ nhiệt - Thiết k...",159000,159000,,0,0,0,,available,,1000,1000,,111461,OEM,True
48594883,4834835876990,"Ổ cắm điện Xiaomi Zmi CX05 6 cổng AC 2 cổng USB sạc nhanh tối đa 18W dài 1.8mBạn đang tìm kiếm một ổ cắm điện có thể giúp bạn sạc điện thoại mà không cần cốc sạc, lại dùng được cho nhiều thiết bị cùn...",309000,390000,,81000,21,107,,available,,1000,1000,,25422,Xiaomi,True
152351689,1601616311080,"Bộ chăn ga gối phong cách Hàn Quốc có thiết kế độc đáo với nhiều họa tiết sinh động, đáng yêu cùng gam màu tươi sáng.Chất liệu cotton poly mềm mịn, sợi vải dệt khít, bền màu, không xù lông và thấm hút...",220000,289000,,69000,24,74,,available,,1000,1000,,697923,LIDACO,True
181151849,7460911737715,CÔNG NGHỆ NHẬT BẢN VÀ HÀN QUỐC         ...,56000,65000,,9000,14,55,,available,,1000,1000,,111461,OEM,True
39748239,7559257542168,"-Thiết kế dạng ốp tường, vô cùng tiết kiệm không gian và dễ dàng di chuyển.- Chân đế ốp được thiết kế bằng công nghệ dán hít tiện dụng, độ bám dính cao.- Phần đáy kệ thoáng dễ thoát nước, tránh tình...",45000,45000,,0,0,22,,available,,1000,1000,,111461,OEM,True
92521124,7804360500613,"Ủng Bọc Giày Đi Mưa Chống Nước Có Đế Chống Trơn Trượt Cao CấpNhững cơn mưa bất chợt không báo trước luôn là nỗi lo đối với mỗi người khi mà áo mưa không thể che hết được toàn cơ thể, vẫn còn đôi chân...",59800,59800,,0,0,2,,available,,1000,1000,,111461,OEM,True
73528576,7257642600607,"Gỗ thông pallet là gỗ được lấy từ các bộ pallet nhập khẩu từ nước ngoài. Do đó đặc thù của loại gỗ này là sẽ có lỗ đinh. Dù vậy nhưng đã được Shop tuyển chọn, gia công lại và phân loại kỹ nên sẽ rất í...",55000,55000,,0,0,19,,available,,1000,1000,,111461,OEM,True
191136118,1925255091916,"Bóng đèn Led Bulb chuôi E27 là loại bóng đèn thông dụng nhất hiện nay, có thể dùng để thắp sáng dân dụng hoặc trang trí.Bóng led của shop là loại kín nước, có thể dùng kết hợp với các dây đèn để tran...",15000,15000,,0,0,34,,available,,1000,1000,,5706641,NAVIVU,True
105170899,3162331068699,"Phân Bón Siêu Đâm Chồi, Giúp Cây Bung Đọt Mạnh, Đâm Chồi Ra Lá Mạnh Mẽ, Chống Nghẽn Đầu Lân Vua Đâm Chồi gói 100grGiúp cây bung đọt, mập thân, đâm chèo, chống nghẽn đầu lânRa rễ mạnh, đẻ nhánh nhiều...",16800,33600,,16800,50,19,,available,,1000,1000,,111461,OEM,True
7699062,9163970026348,"Chảo Nhôm Chống Dính Lock&Lock Baum Marble 1 Tay Cầm LBU1283 (28cm) mang đến sự tinh tế và sang trọng, là đồ dùng nhà bếp được trau chuốt bởi thiết kế hiện đại và mới mẻ.Sản phẩm sử dụng lớp chố...",292000,567000,,275000,49,399,,available,,1000,1000,,48077,LocknLock,True
372944,1224328127907,"Chảo nướng Kova HGS có lớp đá hoa cương phủ bề mặt có tác dụng chống dính, chống khuẩn và chống tạo ra chất Benzopyrene từ thực phẩm cháy gây ung thư, giúp bạn chế biến các món nướng ưa thích mà vẫn đ...",411000,450000,,39000,9,274,,available,,1000,1000,,20324,KOVA,True
133245917,1287623707467,Hộp Đựng Bàn Chải Và Nhả Kem Đánh Răng Tự Động Tặng Kèm Cốc Hút Từ -Kệ Để Đồ Nhà Tắm Dán Tường Tiện Lợi- Hàng Chính Hãng MINIIN - Lắp đặt Dán Tường- Chất liệu: Nhựa ABS- Sản phẩm gồm: 1 Kệ Nhà Tắm...,149250,199000,,49750,25,65,,available,,1000,1000,,5132069,MINIIN,True
68521325,7422710083631,Tiêu chuẩn để có một ly cà phê tuyệt hảoPhin cà phê là một vật dụng không thể thiếu đối với những người yêu – đam mê cà phê. Nhưng bạn có biết đâu mới là một chiếc phin tốt nhất để cho ra những ly cà...,49000,49000,,0,0,173,,available,,1000,1000,,155734,Trung Nguyên,True
113224438,1069772000400,"Ruột gối nằm Microfiber LIDACO gối bông hạt 3d không xẹp lún️ Sản phẩm ruột gối nằm Microfiber LIDACO được sản xuất trên dây chuyền công nghệ hiện đại, kĩ thuật tiên tiến đảm bảo từng đường kim mũi c...",79000,125000,,46000,37,260,,available,,1000,1000,,697923,LIDACO,True
196376951,4046307686371,Cốc Giữ Nhiệt Nóng Lạnh Vusign Inox 304 Dung Tích 510ml Cao Cấp Viền Cao Su Cách Nhiệt Deli - Khắc Tên Hàn Quốc - Phù Hợp Cà Phê Trà Nước Ép Sinh Tố Đá Du Lịch Đi Học Tập GymMÔ TẢ SẢN PHẨMHƯỚNG DẪ...,139000,250200,,111200,44,40,,available,,1000,1000,,46703,Deli,True
59387881,1278215932150,"Bộ ga gối Cotton tici ( hay còn gọi là cotton thô, hay cotton đũi). Chất liệu vải cotton đũi dày, hoặc vải thô, (cotton 90%, đũi 10%). Vải dày dặn, đanh, thoáng mát, thấm hút mồ hôi, không bai, không ...",199000,230000,,31000,13,343,,available,,1000,1000,,697923,LIDACO,True
35905855,9504097226127,"Cây Lau Nhà Pva Lock&Lock - PP, 33 x 6 x 132 cm - Màu Trắng Cây lau nhà lau sạch các loại chất lỏng như sữa, cà phêCác rãnh cực nhỏ trên bề mặt xốp PVA gom sạch hoàn toàn những hạt bụi nhỏ và lô...",277000,539000,,262000,49,1007,,available,,1000,1000,,48077,LocknLock,True
156165766,5192592687203,"Ổ Cắm Du Lịch Đa Năng Thông Minh Phích Cắm Chuyển Đổi Bugu HHT931 1, Thông số kỹ thuật: Thương hiệu: buguModel: HHT931Loại: Công cụ chuyển đổi ổ cắm đa quốc giaSố chấu: 3D...",109650,148000,,38350,26,44,,available,,1000,1000,,568631,Bugu,True
79445924,1529800042925,"Video sản phẩm:Thắp nến sẽ khuếch tán hương thơm lan tỏa khắp căn phòng, rất phù hợp cho phòng tập, phòng làm việc, đọc sạch, phòng thiền,Giúp không gian sống an lành, thoái mái làm cho tinh thần đ...",39000,49000,,10000,20,99,,available,,1000,1000,,4269901,MO hi,True
241995429,9213520305097,       Địa chỉ nhà vườn: Khu nhà vườn - HVNN Việt Nam - Trâu Quỳ - Gia Lâm - Hà Nội   ===================================================   THÔNG TIN CÂY GIỐNG   Tên cây giống: Ổi Ruby   Ổi đư...,2257,2257,,0,0,13,,available,,1000,1000,,111461,OEM,True
184794389,3214941001534,"       Vải coton giặt được máy giặt nhanh kho   2 mặt đều dùng được , dùng văn phòng ngủ trưa , dùng cho trẻ người lớn   Chất vải an toàn   Có chỉ thừa và sai số một tí bên shop sẽ xử lí   ...",119000,119000,,0,0,6,,available,,1000,1000,,111461,OEM,True
187642364,2314960874673,✪✪✪ ĐẶC ĐIỂM NỔI BẬT:️ Đèn cảm ứng - Đèn cảm cảm biến cơ thể người - Đèn ngủ - Đèn ngủ hồng ngoại thông minh – Đèn led cảm ứng – Đèn thông minh – Đèn ngủ thông minh – Đèn cảm biển️ Phù hợp mọi không g...,34900,34900,,0,0,52,,available,,1000,1000,,111461,OEM,True
117353723,8574020376721,"Chiếu ngủ văn phòng cao cấp Chất liệu nhựa 2 lớp: lớp mút và lớp bạc êm ái Gọn nhẹ, dễ dàng mang theo khi đi dã ngoại, văn phòng Xếp gọn và vệ sinh dễ dàng Cho giấc ngủ trưa ngon, không nóng bức  ...",40000,40000,,0,0,280,,available,,1000,1000,,293033,Krishna,True
241804451,6246059058386," Móc INOX 304 Treo Đồ nặng, treo thớt, nồi niêu INOX 304 [CHỐNG NƯỚC, CHỐNG RỈ] Dán Mọi Bề Mặt(Hoàn tiền 10 lần nếu giao hàng không đúng mô tả và hỉnh ảnh và video) Giới Thiệu Sản Phẩm:  Móc Inox 304...",15000,15000,,0,0,313,,available,,1000,1000,,5063093,Jodily StarHome,True
205985398,7446834433848,"Sản phẩmGhế công thái học Lumbar.Màu sắcKhung đen, lưới xám - Khung đen, lưới đen - Khung xám, nệm mút xám.Tựa đầuThiết kế 3D điều chỉnh các hướng nâng hạ, cụp ngửa và tiến lùi 5 cm.Tựa lưngTựa...",3800000,5100000,,1300000,25,15,,available,,1000,1000,,7322743,Nghia Furniture Best choice for nicehome,True
59598451,8897855330923,"Miếng xốp bọc chân cửa chắn gió chống bụi, ngăn tiếng ồn, ngăn côn trùng Điểm nổi bật:- Miếng xốp bọc chân cửa là sản phẩm tiện ích cho gia đình giúp làm kín các khe hở giữa các cánh cửa, dưới chân...",32000,55000,,23000,42,14,,available,,1000,1000,,111461,OEM,True
204411410,1102288880425,"* Khăn tắm nén ma thuật dùng một lần Du lịch khăn bông tái sử dụng * Tuyệt vời cho chuyến du lịch hoặc các hoạt động ngoài trời của bạn như đi bộ đường dài, đi xe đạp và cắm trại * Làm bằng chất liệu ...",50000,50000,,0,0,1,,available,,1000,1000,,111461,OEM,True
187636657,1100971819699,"Keo Dán Giày Đa Năng Dán Mọi Loại Giày, Chống ThấmĐẶC ĐIỂM NỔI BẬT- Đây là loại keo dán giày chuyên dụng rất dễ sử dụng, keo này dạng lỏng, sánh, nhanh khô, khi khô rất dai , độ đàn hồi rất tốt và bá...",35000,45000,,10000,22,216,,available,,1000,1000,,5063093,Jodily StarHome,True
154157961,7788314006098,"- Bền, đẹp, an toàn, chất lượng, tiện ích. Màn tuyn giúp bạn không còn nỗi lo về muỗi hay côn trùng, giúp cả gia đình có những giấc ngủ ngon và an toàn.- Chất liệu : Vải tuyn có độ bền rất cao. Định h...",140000,140000,,0,0,145,,available,,1000,1000,,839837,FuNu,True
194570463,2388771293481,"Găng Tay Cao Su Nấu Ăn, Làm Bếp, Dọn Dẹp Siêu Dai, Siêu BềnGăng tay cao su không mùi, không độc hại, dễ dàng đeo vào. Găng tay được làm từ cao su latex siêu bền và dẻo dai, bạn sẽ không phải chạm trự...",29000,29000,,0,0,24,,available,,1000,1000,,5706641,NAVIVU,True
119030223,6424158958424,"TÍNH NĂNG SẢN PHẨM:️Chỉ cần 1 lớp keo mỏng đã tạo được mối nối trong suốt siêu chắc và tự nhiên, không tì vết.️Bề mặt keo nhẵn mịn ngay sau khi khô.️Keo dính cực mạnh, dính chắc và siêu bền.️Phù hợp v...",18000,32400,,14400,44,244,,available,,1000,1000,,46703,Deli,True
135321378,9932160602335,"       Thanh Chặn Khe Cửa 95cm Đa Năng,Chặn Đáy Khe Cửa, Ngăn Côn Trùng, Chắn Gió Mùa, Ngừa Bụi Bẩn, Giảm Ồn   Chất liệu - Quy cách sản phẩm   Chất liệu: Sản phẩm được làm bằng xốp đặc siêu bền ...",28000,28000,,0,0,7,,available,,1000,1000,,111461,OEM,True
104680895,1626052949076,"    *Thông số kỹ thuật:Thương hiệu : MyJaeTên sản phẩm : Cây lau nhà đơn MyJaeKích thước: Chiều dài cây lau: 144cm, Bông lau: 40cmMàu sắc : Trắng, TímChất li...",179000,330000,,151000,46,264,,available,,1000,1000,,3807547,MyJae,True
115673330,3040160186893,"️ Nẹp Dây Điện Kẹp Dây Sạc Đi Dây Điện Dán Tường Nhà, Bàn Làm Việc Là Sản Phẩm Giúp Bạn Nhanh Chóng Tối Ưu Lại Không Gian Một Cách Thuận Tiện & Dễ Dàng Nhất**LƯU Ý: Nẹp Dây Điện Có 3 PHÂN LOẠI Đe...",39899,39899,,0,0,0,,available,,1000,1000,,111461,OEM,True
117195930,6737511737541,"- Sản phẩm gồm 40 viên pin AA- Là loại pin thông dụng nhất- Pin AA (2A) với điện áp 1,5V/ 1 cục- Pin có độ bền và tuổi thọ cao- Không bị chảy nước khi sử dụng- Loại pin không sạcMua hàng chính h...",94900,94900,,0,0,104,,available,,1000,1000,,21437,Maxell,True
87873161,1468197879675,"Dụng Cụ Nhả Kem Đánh Răng Tự Động E1922 - Màu Ngẫu NhiênChất liệu: Nhựa ABS Kích thước sản phẩm: 7 x 12 x5 cm (dài x rộng x cao)Sản phẩm tiện dụng cho không gian phòng tắm thêm gọn gàng, ngăn nắp.Giố...",75000,120000,,45000,38,7,,available,,1000,1000,,4251607,Vixufu,True
127031393,9115457631995,Ca nước giữ nhiệt LocknLock Metro Mug LHC4219 với lớp sơn tĩnh điện bền chắc và chất liệu thép không gỉ hợp vệ sinh.Dễ dàng mở với nắp xoay Swing cap.Dễ chùi rửa với miệng ca rộng.Giữ ca cố định t...,301000,506000,,205000,41,632,,available,,1000,1000,,48077,LocknLock,True
71924152,9919090391367,"Video hướng dẫn gấp mùng : Mùng Chụp, Màn Chụp Tự Bung Không Đáy Chống Muỗi Cao Cấp Thương Hiệu FUNU - Hàng Chính Hãng (Sản Xuất 100% Tại Việt Nam)THIẾT KẾ THÔNG MINH:Mùng dễ dàng tự bung ra bằng ...",136000,160000,,24000,15,188,,available,,1000,1000,,839837,FuNu,True
23068220,7824507679278,"     Nồi Vân Đá Đáy Từ Sunhouse SHG2020MMA - Xanh là sản phẩm quen thuộc nhưng lại rất nổi bật bởi thiết kế hiện đại và khả năng chống dính siêu bền, dẫn nhiệt tốt, an toàn tuyệt đối cho sức khỏ...",436000,712000,,276000,39,354,,available,,1000,1000,,41048,Sunhouse,True
242656543,1369857139425,- Kích thước khi mở ra: 47x210x67(38)cm- Khả năng chịu tải trọng: 160kg- Phần tựa đầu có thể ngả theo 5 nấc tùy chỉnh- Cạnh hông có túi để đồ tiện lợi- Giường có khả năng thu gọn tiết kiệm diện tích- ...,1289000,1890000,,601000,32,9,,available,,1000,1000,,4250493,pehouse,True
212465483,8184496166489,"Tua Vít Đa Năng Cầm Tay Nhỏ Gọn PK02 - Tiện Dụng Lắp Ráp Và Sửa Chữa Vật Dụng Gia ĐìnhTuốc nơ vít là một công cụ cần có trong bộ dụng cụ cơ bản của gia đình. Với thiết kế nhỏ nhắn, đơn giản bao gồm 1...",35000,35000,,0,0,0,,available,,1000,1000,,5375469,FIVO,True
72652203,9481579402999,"Hộp đựng thức ăn cho bé Lock&Lock có vạch chia 230ml x 3 hộp LLG508S3 làm từ thủy tinh Borosilicate chịu nhiệt (từ -20 độ C lên đến 400℃), an toàn và đáng tin cậyHộp đựng thức ăn kín hơiThiết k...",180000,350000,,170000,49,801,,available,,1000,1000,,48077,LocknLock,True
71924330,8126161754070,"Bộ Chổi Quét Nhà Gồm 1 Cây Chổi + 1 Dụng Cụ Hốt Lock&Lock ETM465 là sản phẩm vô cùng tiện ích, thay thế cho cây chổi quét bình thường thân inox nhỏ , nhẹ dễ luồn lách nhẹ nhàng đến các khe hẹp:...",254000,428000,,174000,41,334,,available,,1000,1000,,48077,LocknLock,True
54133235,8773785239287,Thông tin cơ bản Dung lượng: 2000mAh Tuổi thọ cao và thời gian chờ lên đến 1 nămThiết kế để đảm bảo thời lượng pin dài nhất Đạt hiệu suất cao và an toàn cho mọi thiết bịPin tương thích với mọi loại ...,154000,154000,,0,0,23,,available,,1000,1000,,19312,Energizer,True
696495,3999925082987,"   Ổ Cắm Điện 4 Lỗ 3 Chấu 3m Philips SPN1348WB/74 (2500W)  gồm 4 lỗ cắm 3 chân, có thể sử dụng đồng thời cho nhiều thiết bị điện khác nhau như: quạt, tivi, sạc điện thoại... rất tiện         lợi.   ...",282000,329000,,47000,14,68,,available,,1000,1000,,19018,Philips,True
106457363,5381144755688,Túi Giữ Nhiệt Đựng Hộp Cơm 2 Ngăn – Chọn Màu Túi Giữ Nhiệt Đựng Cặp Lồng Cơm– Nhiều Màu – Chống Thấm Nước Chính Hãng miDoctorMô tả chi tiết - Túi giữ nhiệt đựng hộp cơm văn phòng Chính hãng miDoctor...,39000,60000,,21000,35,195,,available,,1000,1000,,245945,miDoctor,True
241995655,2444537650898,       Địa chỉ nhà vườn: Khu nhà vườn - HVNN Việt Nam - Trâu Quỳ - Gia Lâm - Hà Nội   ===================================================   THÔNG TIN CÂY GIỐNG   + Tên giống cây: Chè xanh ( trà...,2345,2345,,0,0,15,,available,,1000,1000,,111461,OEM,True
58357614,3432364889774,"1. Đặc điểm nổi bậc của bắt muỗi, ruồi và côn trùng hiệu Con Dơi - Tiêu diệt muỗi cả ban ngày và ban đêm ( đèn bắt muỗi thông thường không bắt được muỗi ban ngày) muỗi ban ngày mới thực sự là muỗi độc...",420000,420000,,0,0,917,,available,,1000,1000,,304627,CON DƠI,True
